Lo?i hình v?n chuy?n,Tiêu chí trong t? khai ,Các tr??ng thông tin c?n l?y,,,
,,Arrival notice,Bill,Invoice,Packing list
"Hàng Truck
",Ch? hàng,,,Ship to/Consignee,
,Bill No.,Truck way bill/Waybill,S? bill trên góc trái,,
,Bill date,,Date of issues,,
,ETA,,ETA,,
,S? ki?n,Quantities,Pallets/Carton,,Total
,S? cân,Gross weight,Gross weight,,Total Gross weight
,Mã ??a di?m l?u kho,Kho (warehouse),,,
,POD,From:,,,
,POL,To:,,,
,Bi?n s? xe,Truck no,,,
,Invoice No.,,Invoice No.,Invoice No/No.invoice & date of issues,
,Invoice date,,,Near invoice no,
,Delivery Term,,,Delivery term ,
,Mã hàng (Do DELL cung c?p),,,DELL PN/ Customer PN,
,S? l??ng ,,,Quantites,
,??n giá,,,Unit prices/ Prices,
Hàng Air (th??ng),Bill No.,HAWB,Right corner of the bill,,
,,MAWB (n?u có),Left corner of the bill,,
,Bill date,,Date of issues,,
,ETA,,ETA,,
,Bill No.,Truck way bill,S? bill trên góc trái,,
,Bill date,,Date of issues,,
,ETA,,ETA,,
,S? ki?n,Quantities,Pallets/Carton,,Total
,S? cân,Gross weight,Gross weight,,Total Gross weight
,Mã ??a di?m l?u kho,Kho (warehouse),,,
,POD,From:,,,
,POL,To:,,,
,Flight No,Flight No:,,,
,Invoice No.,,Invoice No.,Invoice No/No.invoice & date of issues,
,Invoice date,,,Near invoice no,
,Delivery Term,,,Delivery term ,
,Mã DELL,,,DELL PN/ Customer PN,
,S? l??ng ,,,Quantites,
,??n giá,,,Unit prices/ Prices,
"Hàng Sea
",Ch? hàng,,,Ship to/Consignee,
,Bill No.,Sea way bill/Waybill,S? bill trên góc trái,,
,Bill date,,Date of issues,,
,ETA,,ETA,,
,S? ki?n,Quantities,Pallets/Carton,,Total
,S? cân,Gross weight,Gross weight,,Total Gross weight
,Mã ??a di?m l?u kho,Kho (warehouse),,,
,POD,From:,,,
,POL,To:,,,
,S? tàu,Ship/ Vessel,,,
,Invoice No.,,Invoice No.,Invoice No/No.invoice & date of issues,
,Invoice date,,,Near invoice no,
,Delivery Term,,,Delivery term ,
,Mã DELL,,,DELL PN/ Customer PN,
,S? l??ng ,,,Quantites,
,??n giá,,,Unit prices/ Prices,
